,test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant,GO term
0,XLOC_000001,XLOC_000001,"YAL068W-A,YAL069W",I:334-792,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
1,XLOC_000002,XLOC_000002,YAL067W-A,I:2479-2707,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
2,XLOC_000003,XLOC_000003,YAL066W,I:10090-10399,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
3,XLOC_000004,XLOC_000004,YAL064W-B,I:12045-12426,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
4,XLOC_000005,XLOC_000005,YAL064W,I:21565-21850,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
5,XLOC_000006,XLOC_000006,GDH3,I:31566-32940,NI,I,NOTEST,5.88861,5.30445,-0.150725,0.0,1.0,1.0,no,
6,XLOC_000007,XLOC_000007,BDH2,I:33447-34701,NI,I,OK,15.2364,14.6022,-0.06133009999999999,-0.0890238,0.9059999999999999,0.978844,no,oxidoreductase activity
7,XLOC_000007,XLOC_000007,BDH2,I:33447-34701,NI,I,OK,15.2364,14.6022,-0.06133009999999999,-0.0890238,0.9059999999999999,0.978844,no,catalytic activity
8,XLOC_000008,XLOC_000008,BDH1,I:35154-36303,NI,I,OK,64.4491,46.2896,-0.477471,-0.8044979999999999,0.24635,0.770695,no,
9,XLOC_000009,XLOC_000009,ECM1,I:36495-37147,NI,I,OK,83.4719,90.2266,0.11226300000000002,0.189872,0.80535,0.968592,no,
10,XLOC_000010,XLOC_000010,CNE1,I:37463-39046,NI,I,OK,12.6159,14.2246,0.17313900000000002,0.234837,0.74985,0.95793,no,
11,XLOC_000011,XLOC_000011,GPB2,I:39258-41901,NI,I,OK,9.97002,8.93384,-0.158315,-0.244694,0.7553,0.9588450000000001,no,
12,XLOC_000012,XLOC_000012,PEX22,I:42176-42719,NI,I,OK,12.6232,15.4233,0.28904,0.23458400000000001,0.7489,0.957923,no,
13,XLOC_000013,XLOC_000013,FLC2,I:45898-48250,NI,I,OK,64.8311,75.5347,0.220453,0.41134499999999996,0.5585,0.901695,no,transmembrane transporter activity
14,XLOC_000013,XLOC_000013,FLC2,I:45898-48250,NI,I,OK,64.8311,75.5347,0.220453,0.41134499999999996,0.5585,0.901695,no,transporter activity
15,XLOC_000013,XLOC_000013,FLC2,I:45898-48250,NI,I,OK,64.8311,75.5347,0.220453,0.41134499999999996,0.5585,0.901695,no,ion transmembrane transporter activity
16,XLOC_000014,XLOC_000014,OAF1,I:48563-51707,NI,I,NOTEST,1.29102,0.543844,-1.24725,0.0,1.0,1.0,no,
17,XLOC_000015,XLOC_000015,YAL047W-A,I:52800-54913,NI,I,NOTEST,2.7618400000000003,8.04055,1.54167,0.0,1.0,1.0,no,
18,XLOC_000016,XLOC_000016,BOL1,I:57487-57850,NI,I,OK,52.0487,147.974,1.5074100000000001,1.63842,0.0496,0.49957399999999996,no,
19,XLOC_000017,XLOC_000017,ERV46,I:61230-62563,NI,I,OK,22.6979,42.2777,0.897338,1.41198,0.04725,0.49526099999999995,no,
20,XLOC_000018,XLOC_000018,CDC24,I:62839-65404,NI,I,NOTEST,4.007569999999999,2.3006900000000003,-0.800663,0.0,1.0,1.0,no,
21,XLOC_000019,XLOC_000019,CDC19,I:71785-73300,NI,I,OK,55.4408,215.35,1.95767,2.58465,0.0117,0.250224,no,
22,XLOC_000020,XLOC_000020,YAL037W,I:74019-74823,NI,I,NOTEST,4.7923,3.98699,-0.265416,0.0,1.0,1.0,no,
23,XLOC_000021,XLOC_000021,FUN12,I:76426-79435,NI,I,NOTEST,4.824990000000001,5.49341,0.187175,0.0,1.0,1.0,no,
24,XLOC_000022,XLOC_000022,MTW1,I:79488-82547,NI,I,NOTEST,2.25285,3.42686,0.6051380000000001,0.0,1.0,1.0,no,
25,XLOC_000023,XLOC_000023,POP5,I:82705-83227,NI,I,OK,82.3419,95.962,0.220836,0.312229,0.65415,0.934077,no,
26,XLOC_000024,XLOC_000024,YAL031W-A,I:84668-87031,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
27,XLOC_000025,XLOC_000025,SNC1,I:87285-87752,NI,I,OK,51.1794,67.833,0.406425,0.47524799999999995,0.56375,0.9021299999999999,no,
28,XLOC_000026,XLOC_000026,FRT2,I:92899-94486,NI,I,NOTEST,2.32745,4.8722199999999996,1.0658299999999998,0.0,1.0,1.0,no,
29,XLOC_000027,XLOC_000027,SAW1,I:94686-99868,NI,I,OK,18.3118,21.5608,0.235632,0.20136500000000002,0.7611,0.961082,no,
30,XLOC_000028,XLOC_000028,HRA1,I:94686-99868,NI,I,NOTEST,5.2445,7.95817,0.601633,0.0,1.0,1.0,no,
31,XLOC_000029,XLOC_000029,YAL019W-A,I:113613-114819,NI,I,OK,10.3027,18.6256,0.85426,0.540697,0.43485,0.875217,no,
32,XLOC_000030,XLOC_000030,FUN30,I:114918-118314,NI,I,NOTEST,1.61117,1.6760599999999999,0.056961000000000005,0.0,1.0,1.0,no,
33,XLOC_000031,XLOC_000031,PSK1,I:120224-124295,NI,I,NOTEST,3.0354900000000002,2.14359,-0.501898,0.0,1.0,1.0,no,
34,XLOC_000032,XLOC_000032,TPD3,I:124754-126786,NI,I,OK,16.136,8.90017,-0.858374,-1.14335,0.1126,0.642742,no,
35,XLOC_000033,XLOC_000033,DEP1,I:129269-130487,NI,I,OK,20.5312,21.6804,0.0785693,0.128943,0.8738,0.9742709999999999,no,
36,XLOC_000034,XLOC_000034,CYS3,I:130798-131983,NI,I,OK,29.2992,34.0376,0.21626599999999999,0.3442,0.6547,0.934077,no,
